id,topic
1,portal
2,Reverse-engineered
3,high-level
4,Centralized
5,real-time
6,background
7,concept
8,mobile
9,Operative
10,Stand-alone
11,Front-line
12,Triple-buffered
13,methodology
14,value-added
15,Front-line
16,actuating
17,non-volatile
18,grid-enabled
19,task-force
20,Balanced
21,Multi-channelled
22,Streamlined
23,zero defect
24,Profit-focused
25,Profit-focused
26,Multi-layered
27,algorithm
28,matrix
29,moratorium
30,Robust
31,ability
32,Multi-channelled
33,encryption
34,even-keeled
35,orchestration
36,asymmetric
37,definition
38,interactive
39,transitional
40,Multi-channelled
41,portal
42,Total
43,Multi-layered
44,Automated
45,uniform
46,Secured
47,infrastructure
48,empowering
49,Devolved
50,explicit
51,interactive
52,secured line
53,Pre-emptive
54,Mandatory
55,needs-based
56,User-friendly
57,multi-state
58,neural-net
59,multimedia
60,cohesive
61,zero administration
62,instruction set
63,internet solution
64,flexibility
65,holistic
66,extranet
67,bifurcated
68,executive
69,cohesive
70,scalable
71,systematic
72,Multi-layered
73,Persevering
74,Synergistic
75,moratorium
76,Mandatory
77,composite
78,Secured
79,Reduced
80,Enhanced
81,mission-critical
82,motivating
83,workforce
84,customer loyalty
85,info-mediaries
86,Organic
87,holistic
88,Assimilated
89,solution
90,mission-critical
91,holistic
92,bi-directional
93,analyzer
94,Profound
95,knowledge user
96,Digitized
97,client-server
98,Re-engineered
99,Versatile
100,Quality-focused
101,human-resource
102,Object-based
103,Mandatory
104,modular
105,explicit
106,dedicated
107,encompassing
108,Re-engineered
109,Ameliorated
110,Enhanced
111,national
112,Graphic Interface
113,Operative
114,Inverse
115,conglomeration
116,hardware
117,national
118,encompassing
119,Cross-group
120,Compatible
121,secondary
122,throughput
123,Operative
124,Quality-focused
125,didactic
126,composite
127,human-resource
128,infrastructure
129,info-mediaries
130,non-volatile
131,transitional
132,Triple-buffered
133,Self-enabling
134,neural-net
135,Multi-channelled
136,infrastructure
137,throughput
138,impactful
139,discrete
140,orchestration
141,Secured
142,forecast
143,matrix
144,next generation
145,stable
146,Proactive
147,client-server
148,attitude-oriented
149,client-server
150,Visionary
151,fault-tolerant
152,Optional
153,structure
154,4th generation
155,installation
156,Pre-emptive
157,knowledge base
158,Customer-focused
159,Fully-configurable
160,mobile
161,zero tolerance
162,bottom-line
163,Progressive
164,utilisation
165,responsive
166,circuit
167,Business-focused
168,Optional
169,framework
170,explicit
171,upward-trending
172,uniform
173,tertiary
174,value-added
175,access
176,hub
177,Optimized
178,focus group
179,Ameliorated
180,transitional
181,interface
182,systemic
183,system-worthy
184,Focused
185,disintermediate
186,Managed
187,Multi-channelled
188,adapter
189,paradigm
190,infrastructure
191,Right-sized
192,Polarised
193,benchmark
194,website
195,non-volatile
196,actuating
197,User-friendly
198,structure
199,open system
200,dynamic
201,fresh-thinking
202,service-desk
203,Optimized
204,multi-state
205,Vision-oriented
206,grid-enabled
207,scalable
208,methodical
209,Implemented
210,time-frame
211,methodical
212,Multi-channelled
213,open system
214,value-added
215,fault-tolerant
216,product
217,Realigned
218,heuristic
219,migration
220,impactful
221,intermediate
222,actuating
223,model
224,Multi-channelled
225,Horizontal
226,system-worthy
227,regional
228,Synergized
229,Organic
230,Quality-focused
231,systematic
232,hub
233,methodical
234,secured line
235,Optimized
236,Virtual
237,Synergized
238,Front-line
239,synergy
240,3rd generation
241,User-centric
242,emulation
243,5th generation
244,background
245,ability
246,transitional
247,User-centric
248,Optimized
249,holistic
250,incremental
251,regional
252,needs-based
253,homogeneous
254,context-sensitive
255,solution
256,concept
257,Extended
258,Innovative
259,stable
260,tertiary
261,service-desk
262,orchestration
263,Grass-roots
264,budgetary management
265,strategy
266,Object-based
267,Function-based
268,capacity
269,Expanded
270,Vision-oriented
271,foreground
272,human-resource
273,web-enabled
274,functionalities
275,24 hour
276,multi-tasking
277,dedicated
278,migration
279,Adaptive
280,cohesive
281,leading edge
282,Switchable
283,neutral
284,Self-enabling
285,Inverse
286,global
287,even-keeled
288,Synergistic
289,internet solution
290,Virtual
291,bifurcated
292,array
293,Progressive
294,impactful
295,function
296,hardware
297,24 hour
298,secondary
299,Networked
300,software
301,portal
302,5th generation
303,multi-state
304,Centralized
305,even-keeled
306,Multi-channelled
307,Object-based
308,Reverse-engineered
309,Seamless
310,interactive
311,firmware
312,application
313,Triple-buffered
314,radical
315,Total
316,Re-engineered
317,intranet
318,monitoring
319,tangible
320,artificial intelligence
321,non-volatile
322,client-server
323,complexity
324,Exclusive
325,application
326,cohesive
327,model
328,Diverse
329,process improvement
330,logistical
331,transitional
332,Realigned
333,algorithm
334,Open-source
335,maximized
336,Team-oriented
337,Total
338,hub
339,even-keeled
340,Re-contextualized
341,hub
342,Cross-group
343,asynchronous
344,policy
345,Polarised
346,interface
347,data-warehouse
348,needs-based
349,global
350,Realigned
351,Vision-oriented
352,Proactive
353,full-range
354,3rd generation
355,interface
356,Polarised
357,neutral
358,uniform
359,utilisation
360,bottom-line
361,projection
362,Digitized
363,moderator
364,methodical
365,intermediate
366,human-resource
367,Down-sized
368,non-volatile
369,composite
370,optimal
371,challenge
372,empowering
373,hybrid
374,3rd generation
375,zero administration
376,Intuitive
377,methodical
378,User-centric
379,Cross-group
380,Quality-focused
381,global
382,neutral
383,artificial intelligence
384,internet solution
385,Programmable
386,Extended
387,capability
388,encompassing
389,Distributed
390,hardware
391,client-server
392,Balanced
393,capacity
394,upward-trending
395,zero administration
396,process improvement
397,solution
398,access
399,multi-state
400,Automated
401,Integrated
402,encoding
403,Devolved
404,policy
405,5th generation
406,cohesive
407,Down-sized
408,scalable
409,capability
410,Switchable
411,full-range
412,process improvement
413,Expanded
414,toolset
415,installation
416,multi-tasking
417,focus group
418,Vision-oriented
419,Ergonomic
420,Reduced
421,Innovative
422,software
423,asynchronous
424,Reverse-engineered
425,transitional
426,Seamless
427,Ergonomic
428,throughput
429,Digitized
430,Future-proofed
431,middleware
432,Versatile
433,Ergonomic
434,emulation
435,Horizontal
436,Assimilated
437,Synergized
438,Polarised
439,Reactive
440,directional
441,real-time
442,Ameliorated
443,incremental
444,capacity
445,success
446,Synchronised
447,even-keeled
448,heuristic
449,transitional
450,intranet
451,website
452,service-desk
453,didactic
454,forecast
455,circuit
456,orchestration
457,user-facing
458,Graphical User Interface
459,mobile
460,Ergonomic
461,Re-contextualized
462,software
463,methodology
464,database
465,24 hour
466,secured line
467,Expanded
468,foreground
469,algorithm
470,installation
471,Progressive
472,Enhanced
473,open system
474,User-friendly
475,Graphic Interface
476,demand-driven
477,flexibility
478,Multi-layered
479,Public-key
480,stable
481,asymmetric
482,parallelism
483,Diverse
484,Organized
485,migration
486,Universal
487,moratorium
488,Profound
489,Reverse-engineered
490,De-engineered
491,Reactive
492,maximized
493,policy
494,Graphical User Interface
495,secured line
496,Function-based
497,Synergistic
498,matrix
499,Secured
500,capability
501,function
502,initiative
503,Assimilated
504,Grass-roots
505,info-mediaries
506,Open-source
507,productivity
508,Ergonomic
509,migration
510,Total
511,non-volatile
512,demand-driven
513,contingency
514,software
515,Cloned
516,secured line
517,Object-based
518,help-desk
519,Total
520,Phased
521,strategy
522,optimal
523,core
524,Extended
525,grid-enabled
526,secondary
527,moratorium
528,systemic
529,budgetary management
530,implementation
531,strategy
532,full-range
533,utilisation
534,installation
535,global
536,3rd generation
537,Implemented
538,clear-thinking
539,next generation
540,homogeneous
541,Stand-alone
542,Realigned
543,object-oriented
544,well-modulated
545,intermediate
546,logistical
547,Virtual
548,workforce
549,frame
550,intermediate
551,zero defect
552,attitude-oriented
553,challenge
554,Multi-layered
555,hierarchy
556,didactic
557,implementation
558,4th generation
559,composite
560,matrix
561,Advanced
562,alliance
563,Reactive
564,Cloned
565,Balanced
566,background
567,neural-net
568,context-sensitive
569,encryption
570,circuit
571,firmware
572,motivating
573,global
574,intermediate
575,intermediate
576,background
577,dynamic
578,secured line
579,systematic
580,6th generation
581,maximized
582,Realigned
583,mobile
584,optimizing
585,Triple-buffered
586,heuristic
587,full-range
588,bandwidth-monitored
589,monitoring
590,Advanced
591,alliance
592,bandwidth-monitored
593,model
594,solution-oriented
595,Reduced
596,moratorium
597,Up-sized
598,client-driven
599,6th generation
600,holistic
601,Monitored
602,Assimilated
603,protocol
604,contextually-based
605,Progressive
606,zero tolerance
607,access
608,knowledge base
609,utilisation
610,artificial intelligence
611,bi-directional
612,leverage
613,Quality-focused
614,well-modulated
615,Persistent
616,collaboration
617,Advanced
618,orchestration
619,didactic
620,high-level
621,Synergized
622,full-range
623,Synchronised
624,systematic
625,orchestration
626,maximized
627,user-facing
628,dedicated
629,benchmark
630,Integrated
631,process improvement
632,workforce
633,Centralized
634,human-resource
635,strategy
636,moratorium
637,Open-architected
638,database
639,reciprocal
640,Configurable
641,application
642,policy
643,Persevering
644,Graphic Interface
645,content-based
646,Focused
647,Persistent
648,next generation
649,strategy
650,paradigm
651,needs-based
652,Multi-layered
653,frame
654,parallelism
655,discrete
656,interface
657,standardization
658,throughput
659,explicit
660,customer loyalty
661,User-centric
662,Persistent
663,function
664,software
665,foreground
666,Re-engineered
667,Customer-focused
668,Secured
669,web-enabled
670,Upgradable
671,Multi-lateral
672,Public-key
673,implementation
674,Future-proofed
675,Streamlined
676,Self-enabling
677,Mandatory
678,zero defect
679,Cloned
680,Business-focused
681,Business-focused
682,array
683,Assimilated
684,framework
685,ability
686,intermediate
687,time-frame
688,toolset
689,24/7
690,Seamless
691,Decentralized
692,system-worthy
693,Grass-roots
694,leverage
695,intranet
696,Customer-focused
697,task-force
698,User-friendly
699,model
700,alliance
701,real-time
702,fresh-thinking
703,Reverse-engineered
704,Assimilated
705,Operative
706,knowledge user
707,encompassing
708,24/7
709,Realigned
710,Reverse-engineered
711,leading edge
712,mobile
713,architecture
714,Reactive
715,system engine
716,Organic
717,contingency
718,challenge
719,artificial intelligence
720,radical
721,firmware
722,toolset
723,Visionary
724,Balanced
725,uniform
726,Fundamental
727,impactful
728,customer loyalty
729,national
730,Phased
731,Assimilated
732,multimedia
733,Integrated
734,hierarchy
735,Vision-oriented
736,Polarised
737,tertiary
738,secondary
739,24/7
740,Re-engineered
741,support
742,national
743,3rd generation
744,benchmark
745,firmware
746,Universal
747,artificial intelligence
748,moratorium
749,Innovative
750,infrastructure
751,optimizing
752,Operative
753,Centralized
754,intranet
755,Sharable
756,Multi-tiered
757,matrices
758,Graphical User Interface
759,internet solution
760,3rd generation
761,didactic
762,paradigm
763,Persistent
764,4th generation
765,Versatile
766,support
767,portal
768,Cross-platform
769,orchestration
770,Networked
771,pricing structure
772,definition
773,Quality-focused
774,multimedia
775,Adaptive
776,didactic
777,demand-driven
778,Open-architected
779,adapter
780,frame
781,model
782,capacity
783,fresh-thinking
784,artificial intelligence
785,static
786,Decentralized
787,Managed
788,Organic
789,firmware
790,Grass-roots
791,clear-thinking
792,bottom-line
793,Reactive
794,clear-thinking
795,responsive
796,website
797,Intuitive
798,asynchronous
799,leading edge
800,disintermediate
801,standardization
802,even-keeled
803,transitional
804,ability
805,exuding
806,Optimized
807,Centralized
808,migration
809,open architecture
810,data-warehouse
811,asynchronous
812,Optional
813,encoding
814,responsive
815,array
816,data-warehouse
817,client-driven
818,Graphical User Interface
819,access
820,matrix
821,Face to face
822,info-mediaries
823,archive
824,ability
825,motivating
826,Synchronised
827,transitional
828,Reactive
829,Operative
830,Reverse-engineered
831,archive
832,benchmark
833,encoding
834,Optimized
835,collaboration
836,info-mediaries
837,secured line
838,multi-state
839,strategy
840,global
841,composite
842,real-time
843,Grass-roots
844,initiative
845,Expanded
846,Grass-roots
847,Distributed
848,structure
849,upward-trending
850,Diverse
851,analyzer
852,Persevering
853,Intuitive
854,Virtual
855,global
856,Down-sized
857,De-engineered
858,Streamlined
859,Balanced
860,success
861,disintermediate
862,responsive
863,function
864,Optimized
865,Enhanced
866,monitoring
867,Enhanced
868,synergy
869,software
870,real-time
871,global
872,zero defect
873,Configurable
874,Realigned
875,knowledge user
876,moratorium
877,analyzer
878,leading edge
879,process improvement
880,Networked
881,Persistent
882,interface
883,User-centric
884,encryption
885,database
886,task-force
887,website
888,intermediate
889,Face to face
890,project
891,orchestration
892,Seamless
893,emulation
894,User-friendly
895,Open-source
896,Re-engineered
897,product
898,synergy
899,tangible
900,Diverse
901,Open-source
902,Expanded
903,bifurcated
904,Cross-platform
905,6th generation
906,Pre-emptive
907,Pre-emptive
908,bottom-line
909,contingency
910,bandwidth-monitored
911,archive
912,Intuitive
913,directional
914,superstructure
915,website
916,disintermediate
917,Self-enabling
918,Horizontal
919,Realigned
920,non-volatile
921,solution
922,benchmark
923,Expanded
924,multi-tasking
925,fresh-thinking
926,adapter
927,neutral
928,asymmetric
929,analyzing
930,incremental
931,systemic
932,info-mediaries
933,neural-net
934,Adaptive
935,architecture
936,conglomeration
937,attitude-oriented
938,Configurable
939,mobile
940,Right-sized
941,directional
942,24 hour
943,multimedia
944,coherent
945,function
946,interface
947,ability
948,implementation
949,bifurcated
950,matrix
951,archive
952,coherent
953,hierarchy
954,high-level
955,background
956,value-added
957,workforce
958,static
959,standardization
960,directional
961,Quality-focused
