id,topic
1,reciprocal
2,capability
3,success
4,Advanced
5,function
6,Multi-lateral
7,open system
8,Persevering
9,Configurable
10,Exclusive
11,Ameliorated
12,interface
13,24/7
14,didactic
15,object-oriented
16,mission-critical
17,regional
18,initiative
19,Sharable
20,Re-engineered
21,task-force
22,data-warehouse
23,Cross-group
24,Public-key
25,Stand-alone
26,executive
27,multimedia
28,6th generation
29,conglomeration
30,Up-sized
31,User-centric
32,Programmable
33,intangible
34,data-warehouse
35,grid-enabled
36,system engine
37,disintermediate
38,open architecture
39,Self-enabling
40,Persevering
41,Synchronised
42,Upgradable
43,Ameliorated
44,product
45,encoding
46,Virtual
47,actuating
48,framework
49,Team-oriented
50,synergy
51,artificial intelligence
52,productivity
53,full-range
54,Seamless
55,tangible
56,directional
57,Ergonomic
58,algorithm
59,Programmable
60,interface
61,leverage
62,zero defect
63,Re-contextualized
64,pricing structure
65,foreground
66,national
67,real-time
68,framework
69,explicit
70,Grass-roots
71,actuating
72,logistical
73,Grass-roots
74,Customizable
75,process improvement
76,bifurcated
77,Multi-tiered
78,directional
79,interface
80,Polarised
81,high-level
82,Self-enabling
83,superstructure
84,Centralized
85,zero tolerance
86,dynamic
87,hybrid
88,5th generation
89,Devolved
90,stable
91,multi-tasking
92,demand-driven
93,Ameliorated
94,Profound
95,Function-based
96,systematic
97,mobile
98,portal
99,Cross-platform
100,encompassing
101,matrix
102,directional
103,homogeneous
104,artificial intelligence
105,value-added
106,eco-centric
107,foreground
108,Intuitive
109,24 hour
110,Distributed
111,asynchronous
112,Cross-group
113,non-volatile
114,heuristic
115,Customer-focused
116,well-modulated
117,challenge
118,orchestration
119,Universal
120,encompassing
121,asymmetric
122,solution-oriented
123,matrices
124,Operative
125,stable
126,Inverse
127,Reactive
128,Polarised
129,neural-net
130,parallelism
131,bi-directional
132,Mandatory
133,Public-key
134,Expanded
135,Open-source
136,Advanced
137,neural-net
138,Virtual
139,Persistent
140,concept
141,framework
142,Polarised
143,array
144,Fully-configurable
145,knowledge base
146,incremental
147,Triple-buffered
148,Persistent
149,methodical
150,interface
151,capacity
152,24/7
153,secondary
154,analyzer
155,Fully-configurable
156,Customizable
157,Triple-buffered
158,client-server
159,structure
160,holistic
161,incremental
162,Diverse
163,Programmable
164,stable
165,Adaptive
166,maximized
167,Sharable
168,Automated
169,task-force
170,multi-state
171,Ergonomic
172,Multi-lateral
173,Versatile
174,content-based
175,Inverse
176,zero tolerance
177,budgetary management
178,Programmable
179,Cross-platform
180,maximized
181,cohesive
182,eco-centric
183,access
184,Enhanced
185,Devolved
186,context-sensitive
187,composite
188,client-driven
189,hierarchy
190,algorithm
191,Configurable
192,analyzer
193,Open-source
194,Ameliorated
195,leading edge
196,Persevering
197,maximized
198,Re-engineered
199,info-mediaries
200,systemic
201,utilisation
202,Fundamental
203,Programmable
204,coherent
205,secured line
206,zero defect
207,optimizing
208,bandwidth-monitored
209,Upgradable
210,Inverse
211,adapter
212,even-keeled
213,superstructure
214,methodical
215,Synergistic
216,secured line
217,Phased
218,impactful
219,fault-tolerant
220,superstructure
221,Total
222,Function-based
223,Streamlined
224,Multi-layered
225,interface
226,frame
227,dynamic
228,analyzer
229,systemic
230,24 hour
231,flexibility
232,project
233,archive
234,client-driven
235,coherent
236,toolset
237,strategy
238,Profound
239,framework
240,infrastructure
241,Decentralized
242,full-range
243,Programmable
244,Multi-channelled
245,methodical
246,info-mediaries
247,help-desk
248,national
249,Re-contextualized
250,Triple-buffered
251,Devolved
252,extranet
253,high-level
254,Exclusive
255,function
256,static
257,high-level
258,Function-based
259,Self-enabling
260,Optional
261,Phased
262,Front-line
263,Total
264,approach
265,bottom-line
266,neural-net
267,moderator
268,De-engineered
269,Reduced
270,superstructure
271,migration
272,multi-tasking
273,regional
274,Cross-group
275,Vision-oriented
276,Programmable
277,array
278,focus group
279,discrete
280,Front-line
281,project
282,benchmark
283,Phased
284,Operative
285,needs-based
286,Virtual
287,methodology
288,Open-architected
289,multimedia
290,Streamlined
291,Centralized
292,Enhanced
293,Monitored
294,Pre-emptive
295,didactic
296,high-level
297,Cross-group
298,multi-state
299,implementation
300,contingency
301,Configurable
302,Optional
303,responsive
304,disintermediate
305,Adaptive
306,Assimilated
307,complexity
308,maximized
309,software
310,productivity
311,background
312,Object-based
313,high-level
314,Cloned
315,knowledge user
316,product
317,Progressive
318,hierarchy
319,Down-sized
320,dynamic
321,neural-net
322,Versatile
323,system-worthy
324,success
325,incremental
326,motivating
327,orchestration
328,Organic
329,throughput
330,collaboration
331,system-worthy
332,Object-based
333,forecast
334,productivity
335,initiative
336,pricing structure
337,static
338,Open-source
339,grid-enabled
340,object-oriented
341,logistical
342,paradigm
343,Robust
344,hybrid
345,Profit-focused
346,encryption
347,Adaptive
348,policy
349,flexibility
350,Persistent
351,knowledge user
352,analyzing
353,circuit
354,internet solution
355,Face to face
356,Profound
357,eco-centric
358,Graphic Interface
359,contextually-based
360,foreground
361,holistic
362,approach
363,Devolved
364,productivity
365,Horizontal
366,bottom-line
367,Expanded
368,definition
369,support
370,Intuitive
371,Monitored
372,initiative
373,concept
374,Inverse
375,Re-contextualized
376,customer loyalty
377,4th generation
378,Fundamental
379,extranet
380,systemic
381,neutral
382,adapter
383,uniform
384,full-range
385,productivity
386,Reverse-engineered
387,structure
388,migration
389,composite
390,groupware
391,maximized
392,bifurcated
393,grid-enabled
394,circuit
395,Enhanced
396,Devolved
397,Reactive
398,system engine
399,Seamless
400,methodical
401,structure
402,5th generation
403,needs-based
404,implementation
405,Persevering
406,full-range
407,bifurcated
408,adapter
409,mission-critical
410,benchmark
411,knowledge base
412,foreground
413,Vision-oriented
414,Down-sized
415,knowledge user
416,synergy
417,archive
418,actuating
419,Mandatory
420,algorithm
421,function
422,leading edge
423,Open-source
424,Horizontal
425,Secured
426,artificial intelligence
427,contingency
428,Reverse-engineered
429,artificial intelligence
430,local
431,Ergonomic
432,stable
433,contextually-based
434,Grass-roots
435,even-keeled
436,Exclusive
437,definition
438,Decentralized
439,impactful
440,Programmable
441,User-centric
442,Diverse
443,Phased
444,local
445,Mandatory
446,Ameliorated
447,monitoring
448,Monitored
449,Multi-lateral
450,upward-trending
451,tangible
452,multi-state
453,Graphical User Interface
454,Multi-tiered
455,impactful
456,matrices
457,Realigned
458,4th generation
459,Inverse
460,eco-centric
461,Realigned
462,knowledge base
463,methodology
464,Grass-roots
465,Stand-alone
466,moderator
467,clear-thinking
468,Multi-layered
469,capacity
470,composite
471,Synchronised
472,Virtual
473,capability
474,Visionary
475,5th generation
476,challenge
477,Object-based
478,Total
479,systematic
480,Robust
481,Upgradable
482,heuristic
483,Innovative
484,Universal
485,open architecture
486,policy
487,optimal
488,zero tolerance
489,Multi-lateral
490,content-based
491,optimizing
492,Virtual
493,database
494,transitional
495,dedicated
496,web-enabled
497,executive
498,Pre-emptive
499,customer loyalty
500,human-resource
501,Cloned
502,Multi-channelled
503,fault-tolerant
504,solution-oriented
505,Extended
506,object-oriented
507,secured line
508,alliance
509,value-added
510,artificial intelligence
511,multimedia
512,archive
513,Quality-focused
514,info-mediaries
515,Assimilated
516,Sharable
517,object-oriented
518,Automated
519,Managed
520,Proactive
521,Managed
522,Programmable
523,4th generation
524,3rd generation
525,Cross-group
526,discrete
527,cohesive
528,asynchronous
529,Progressive
530,Re-engineered
531,complexity
532,Triple-buffered
533,implementation
534,Upgradable
535,database
536,24 hour
537,open architecture
538,Grass-roots
539,3rd generation
540,Graphical User Interface
541,heuristic
542,dedicated
543,maximized
544,structure
545,local
546,Future-proofed
547,utilisation
548,Switchable
549,non-volatile
550,Down-sized
551,Configurable
552,Triple-buffered
553,analyzing
554,encryption
555,productivity
556,Profound
557,background
558,Re-contextualized
559,Cross-group
560,Object-based
561,Future-proofed
562,bandwidth-monitored
563,Balanced
564,encompassing
565,upward-trending
566,multimedia
567,didactic
568,needs-based
569,task-force
570,Intuitive
571,artificial intelligence
572,internet solution
573,zero tolerance
574,Assimilated
575,radical
576,24/7
577,customer loyalty
578,national
579,productivity
580,middleware
581,secured line
582,3rd generation
583,Customizable
584,bifurcated
585,regional
586,software
587,Sharable
588,national
589,protocol
590,asymmetric
591,Progressive
592,Sharable
593,intermediate
594,framework
595,clear-thinking
596,project
597,secondary
598,flexibility
599,matrices
600,hub
601,Multi-tiered
602,multi-state
603,product
604,capability
605,heuristic
606,time-frame
607,Sharable
608,transitional
609,Re-contextualized
610,system engine
611,time-frame
612,interactive
613,Polarised
614,Centralized
615,task-force
616,workforce
617,static
618,non-volatile
619,Front-line
620,hardware
621,Stand-alone
622,intermediate
623,Enterprise-wide
624,moderator
625,logistical
626,6th generation
627,clear-thinking
628,Networked
629,actuating
630,encompassing
631,monitoring
632,knowledge user
633,explicit
634,Enterprise-wide
635,Phased
636,open system
637,Operative
638,interactive
639,Versatile
