id,topic
1,system engine
2,Stand-alone
3,object-oriented
4,protocol
5,user-facing
6,initiative
7,Open-source
8,24 hour
9,Business-focused
10,initiative
11,system-worthy
12,secured line
13,maximized
14,customer loyalty
15,optimal
16,Right-sized
17,optimizing
18,Devolved
19,hierarchy
20,Virtual
21,complexity
22,neutral
23,Cross-group
24,non-volatile
25,holistic
26,radical
27,Cross-group
28,synergy
29,content-based
30,fresh-thinking
31,concept
32,portal
33,functionalities
34,Monitored
35,architecture
36,Multi-layered
37,Up-sized
38,alliance
39,cohesive
40,Enhanced
41,Organic
42,Upgradable
43,next generation
44,Synergized
45,Re-contextualized
46,application
47,Customer-focused
48,disintermediate
49,framework
50,responsive
51,Expanded
52,user-facing
53,actuating
54,Organized
55,full-range
56,projection
57,product
58,next generation
59,demand-driven
60,challenge
61,customer loyalty
62,Fundamental
63,Decentralized
64,Open-architected
65,homogeneous
66,Realigned
67,fresh-thinking
68,implementation
69,superstructure
70,intranet
71,attitude
72,hub
73,analyzer
74,composite
75,frame
76,user-facing
77,regional
78,structure
79,moratorium
80,encryption
81,Object-based
82,high-level
83,knowledge base
84,hierarchy
85,Reduced
86,Self-enabling
87,tertiary
88,frame
89,help-desk
90,local area network
91,next generation
92,Synergistic
93,homogeneous
94,directional
95,Persistent
96,encompassing
97,Profit-focused
98,Robust
99,hybrid
100,Open-architected
101,analyzing
102,6th generation
103,Robust
104,Open-source
105,access
106,responsive
107,algorithm
108,full-range
109,collaboration
110,value-added
111,Integrated
112,asynchronous
113,array
114,hybrid
115,modular
116,data-warehouse
117,asymmetric
118,product
119,clear-thinking
120,Inverse
121,leading edge
122,Centralized
123,Profit-focused
124,Mandatory
125,website
126,Universal
127,Organic
128,holistic
129,complexity
130,product
131,circuit
132,attitude-oriented
133,asymmetric
134,Devolved
135,neural-net
136,customer loyalty
137,array
138,productivity
139,systematic
140,software
141,Optimized
142,stable
143,instruction set
144,explicit
145,client-driven
146,Re-contextualized
147,User-centric
148,middleware
149,alliance
150,Automated
151,regional
152,matrix
153,5th generation
154,adapter
155,Progressive
156,Front-line
157,Down-sized
158,Robust
159,Universal
160,neutral
161,3rd generation
162,methodology
163,uniform
164,Quality-focused
165,functionalities
166,Cross-group
167,process improvement
168,open architecture
169,optimizing
170,stable
171,secondary
172,software
173,Compatible
174,coherent
175,demand-driven
176,Progressive
177,Cross-platform
178,paradigm
179,national
180,interface
181,Open-source
182,disintermediate
183,website
184,standardization
185,tertiary
186,fault-tolerant
187,Digitized
188,asymmetric
189,Multi-layered
190,methodology
191,zero tolerance
192,Seamless
193,scalable
194,flexibility
195,Decentralized
196,productivity
197,Stand-alone
198,dynamic
199,reciprocal
200,hub
201,protocol
202,Right-sized
203,utilisation
204,coherent
205,focus group
206,Exclusive
207,User-friendly
208,even-keeled
209,core
210,support
211,Cross-platform
212,modular
213,reciprocal
214,Switchable
215,zero administration
216,Multi-channelled
217,Customer-focused
218,Multi-tiered
219,stable
220,protocol
221,content-based
222,Open-source
223,synergy
224,time-frame
225,database
226,scalable
227,toolset
228,time-frame
229,web-enabled
230,adapter
231,high-level
232,secured line
233,regional
234,encryption
235,multi-tasking
236,analyzer
237,Business-focused
238,asymmetric
239,multimedia
240,Innovative
241,monitoring
242,Distributed
243,migration
244,Networked
245,Persevering
246,motivating
247,Public-key
248,reciprocal
249,framework
250,Distributed
251,Multi-channelled
252,national
253,homogeneous
254,standardization
255,Quality-focused
256,toolset
257,Seamless
258,Enhanced
259,Universal
260,User-centric
261,Realigned
262,initiative
263,zero tolerance
264,zero administration
265,Total
266,Multi-channelled
267,Cross-platform
268,Compatible
269,model
270,non-volatile
271,object-oriented
272,matrix
273,circuit
274,Fully-configurable
275,encryption
276,Compatible
277,Polarised
278,intranet
279,open architecture
280,Balanced
281,neural-net
282,Monitored
283,Profound
284,encoding
285,Extended
286,alliance
287,protocol
288,multi-state
289,De-engineered
290,mission-critical
291,multi-tasking
292,secondary
293,hybrid
294,system-worthy
295,holistic
296,frame
297,Compatible
298,Virtual
299,Business-focused
300,capacity
301,neural-net
302,structure
303,Streamlined
304,website
305,paradigm
306,Multi-channelled
307,synergy
308,firmware
309,User-friendly
310,Right-sized
311,Persistent
312,budgetary management
313,model
314,Right-sized
315,Expanded
316,benchmark
317,client-server
318,bottom-line
319,Up-sized
320,Reactive
321,Enhanced
322,algorithm
323,mission-critical
324,systemic
325,Business-focused
326,Phased
327,protocol
328,open architecture
329,parallelism
330,success
331,paradigm
332,Organized
333,groupware
334,Vision-oriented
335,systematic
336,Advanced
337,budgetary management
338,intangible
339,definition
340,bandwidth-monitored
341,intranet
342,extranet
343,function
344,Secured
345,definition
346,project
347,composite
348,mobile
349,impactful
350,eco-centric
351,hub
352,real-time
353,reciprocal
354,Graphic Interface
355,architecture
356,moderator
357,optimizing
358,Function-based
359,Self-enabling
360,Reactive
361,Mandatory
362,Persevering
363,firmware
364,intermediate
365,Right-sized
366,Re-contextualized
367,protocol
368,approach
369,heuristic
370,policy
371,discrete
372,collaboration
373,national
374,Multi-channelled
375,zero administration
376,Realigned
377,Future-proofed
378,Synergistic
379,national
380,Configurable
381,Customizable
382,solution-oriented
383,secondary
384,multi-state
385,middleware
386,array
387,approach
388,Down-sized
389,time-frame
390,dynamic
391,leverage
392,throughput
393,Organized
394,Persistent
395,analyzing
396,capacity
397,encoding
398,dynamic
399,dedicated
400,User-friendly
401,Customizable
402,exuding
403,Exclusive
404,dynamic
405,Assimilated
406,Multi-channelled
407,approach
408,Focused
409,analyzing
410,conglomeration
411,project
412,exuding
413,array
414,needs-based
415,contextually-based
416,pricing structure
417,bi-directional
418,Optimized
419,Multi-tiered
420,success
421,initiative
422,dedicated
423,time-frame
424,implementation
425,orchestration
426,well-modulated
427,Proactive
428,Stand-alone
429,knowledge user
430,Horizontal
431,array
432,maximized
433,Robust
434,heuristic
435,analyzing
436,paradigm
437,emulation
438,Focused
439,local
440,Distributed
441,Right-sized
442,migration
443,paradigm
444,Advanced
445,access
446,Face to face
447,monitoring
448,Compatible
449,Extended
450,implementation
451,knowledge base
452,regional
453,disintermediate
454,user-facing
455,Profit-focused
456,executive
457,Quality-focused
458,intranet
459,Vision-oriented
460,Expanded
461,Reactive
462,incremental
463,firmware
464,multimedia
465,asynchronous
466,Down-sized
467,Synergistic
468,functionalities
469,Organic
470,Pre-emptive
471,analyzer
472,User-centric
473,tangible
474,Public-key
475,matrices
476,heuristic
477,Profit-focused
478,database
479,service-desk
480,Synergized
481,workforce
482,holistic
483,high-level
484,Organic
485,Function-based
486,modular
487,Advanced
488,holistic
489,directional
490,Innovative
491,function
492,Front-line
493,artificial intelligence
494,directional
495,matrices
496,array
497,neural-net
498,Progressive
499,hub
500,homogeneous
501,Sharable
502,demand-driven
503,info-mediaries
504,methodology
505,heuristic
506,infrastructure
507,impactful
508,superstructure
509,Automated
510,parallelism
511,Sharable
512,Profound
513,contextually-based
514,frame
515,responsive
516,heuristic
517,Sharable
518,3rd generation
519,mobile
520,object-oriented
521,Front-line
522,structure
523,standardization
524,Persevering
525,access
526,paradigm
527,bifurcated
528,reciprocal
529,uniform
530,Persevering
531,intranet
532,secondary
533,interactive
534,Persevering
535,database
536,Synchronised
537,policy
538,ability
539,challenge
540,Proactive
541,Vision-oriented
542,definition
543,extranet
544,product
545,global
546,Adaptive
547,demand-driven
548,Right-sized
549,Expanded
550,functionalities
551,website
552,pricing structure
553,project
554,Right-sized
555,Virtual
556,holistic
557,Total
558,intranet
559,policy
560,logistical
561,4th generation
562,Front-line
563,Graphical User Interface
564,Versatile
565,mission-critical
566,middleware
567,interactive
568,Extended
569,Centralized
570,Centralized
571,protocol
572,leverage
573,real-time
574,composite
575,approach
576,hardware
577,Balanced
578,Innovative
579,Configurable
580,website
581,asynchronous
582,dedicated
583,Polarised
584,high-level
585,benchmark
586,Diverse
587,Graphical User Interface
588,Proactive
589,superstructure
590,contingency
