id,topic
1,Progressive
2,hardware
3,Progressive
4,success
5,Organized
6,productivity
7,Persistent
8,fresh-thinking
9,Synchronised
10,concept
11,national
12,complexity
13,portal
14,national
15,alliance
16,Programmable
17,Profound
18,ability
19,uniform
20,24/7
21,Horizontal
22,Graphic Interface
23,tangible
24,Cross-platform
25,paradigm
26,Managed
27,support
28,human-resource
29,fault-tolerant
30,Front-line
31,Realigned
32,migration
33,migration
34,project
35,adapter
36,discrete
37,needs-based
38,fresh-thinking
39,Synchronised
40,Reactive
41,migration
42,grid-enabled
43,Self-enabling
44,open system
45,Self-enabling
46,Ameliorated
47,benchmark
48,User-centric
49,toolset
50,optimal
51,Object-based
52,migration
53,responsive
54,solution-oriented
55,next generation
56,non-volatile
57,impactful
58,Graphical User Interface
59,software
60,foreground
61,Compatible
62,Graphical User Interface
63,dynamic
64,initiative
65,Self-enabling
66,Multi-channelled
67,tertiary
68,non-volatile
69,collaboration
70,support
71,pricing structure
72,Persevering
73,framework
74,challenge
75,Graphic Interface
76,Fundamental
77,homogeneous
78,Horizontal
79,artificial intelligence
80,national
81,product
82,needs-based
83,Fundamental
84,help-desk
85,moratorium
86,Cloned
87,mobile
88,open system
89,Visionary
90,methodology
91,complexity
92,national
93,heuristic
94,heuristic
95,Virtual
96,circuit
97,leverage
98,parallelism
99,content-based
100,neural-net
101,Stand-alone
102,functionalities
103,Face to face
104,leading edge
105,zero tolerance
106,Diverse
107,mobile
108,archive
109,modular
110,reciprocal
111,orchestration
112,Grass-roots
113,empowering
114,artificial intelligence
115,structure
116,Open-architected
117,Decentralized
118,focus group
119,Front-line
120,Graphic Interface
121,Quality-focused
122,groupware
123,actuating
124,capacity
125,system engine
126,Graphic Interface
127,info-mediaries
128,background
129,3rd generation
130,Pre-emptive
131,regional
132,analyzing
133,groupware
134,encryption
135,Innovative
136,Adaptive
137,Adaptive
138,algorithm
139,Synergistic
140,contextually-based
141,installation
142,Extended
143,Ergonomic
144,project
145,client-server
146,website
147,disintermediate
148,reciprocal
149,hardware
150,Synchronised
151,frame
152,migration
153,homogeneous
154,empowering
155,emulation
156,hierarchy
157,internet solution
158,responsive
159,mobile
160,flexibility
161,Advanced
162,empowering
163,adapter
164,De-engineered
165,didactic
166,model
167,responsive
168,Synergized
169,optimal
170,collaboration
171,Face to face
172,high-level
173,projection
174,De-engineered
175,Implemented
176,Proactive
177,capability
178,local area network
179,zero defect
180,Adaptive
181,local area network
182,Multi-channelled
183,parallelism
184,product
185,stable
186,impactful
187,portal
188,Business-focused
189,migration
190,multimedia
191,Ergonomic
192,Cross-group
193,Face to face
194,zero administration
195,solution-oriented
196,capability
197,local area network
198,Ameliorated
199,De-engineered
200,Distributed
201,national
202,throughput
203,value-added
204,algorithm
205,Reduced
206,Quality-focused
207,Automated
208,encryption
209,firmware
210,uniform
211,focus group
212,Graphical User Interface
213,attitude-oriented
214,collaboration
215,Versatile
216,coherent
217,leading edge
218,context-sensitive
219,collaboration
220,uniform
221,pricing structure
222,6th generation
223,hybrid
224,secondary
225,bifurcated
226,Graphic Interface
227,artificial intelligence
228,emulation
229,Reverse-engineered
230,Customer-focused
231,Centralized
232,task-force
233,Self-enabling
234,foreground
235,instruction set
236,function
237,Optimized
238,product
239,Multi-lateral
240,protocol
241,customer loyalty
242,Advanced
243,clear-thinking
244,Graphic Interface
245,access
246,definition
247,6th generation
248,Ameliorated
249,contextually-based
250,moratorium
251,model
252,empowering
253,responsive
254,multimedia
255,Switchable
256,Synergistic
257,secured line
258,projection
259,Monitored
260,maximized
261,Front-line
262,empowering
263,Exclusive
264,modular
265,multimedia
266,Re-engineered
267,exuding
268,interface
269,motivating
270,content-based
271,Upgradable
272,systemic
273,throughput
274,Business-focused
275,product
276,firmware
277,parallelism
278,optimizing
279,open architecture
280,open system
281,local
282,static
283,interactive
284,multimedia
285,zero defect
286,scalable
287,emulation
288,full-range
289,Proactive
290,upward-trending
291,capability
292,Managed
293,Synergistic
294,web-enabled
295,discrete
296,heuristic
297,4th generation
298,fresh-thinking
299,Multi-channelled
300,Down-sized
301,web-enabled
302,Persevering
303,regional
304,context-sensitive
305,Graphical User Interface
306,Persevering
307,multi-tasking
308,complexity
309,Configurable
310,Programmable
311,paradigm
312,Exclusive
313,knowledge user
314,task-force
315,definition
316,infrastructure
317,Focused
318,emulation
319,firmware
320,Cross-platform
321,encoding
322,Innovative
323,Mandatory
324,Seamless
325,Vision-oriented
326,architecture
327,discrete
328,Adaptive
329,Centralized
330,customer loyalty
331,implementation
332,Synchronised
333,foreground
334,Multi-layered
335,Team-oriented
336,Compatible
337,Compatible
338,Sharable
339,full-range
340,hierarchy
341,Monitored
342,human-resource
343,product
344,synergy
345,archive
346,Synergized
347,Multi-tiered
348,Multi-tiered
349,Progressive
350,Function-based
351,function
352,parallelism
353,3rd generation
354,user-facing
355,paradigm
356,matrix
357,strategy
358,clear-thinking
359,interface
360,Innovative
361,synergy
362,intermediate
363,Multi-channelled
364,holistic
365,system-worthy
366,Profit-focused
367,utilisation
368,Self-enabling
369,project
370,array
371,Fully-configurable
372,Assimilated
373,product
374,bandwidth-monitored
375,function
376,24/7
377,encoding
378,Multi-lateral
379,Right-sized
380,grid-enabled
381,orchestration
382,cohesive
383,discrete
384,coherent
385,6th generation
386,pricing structure
387,3rd generation
388,heuristic
389,open architecture
390,Programmable
391,bottom-line
392,frame
393,Decentralized
394,Persistent
395,user-facing
396,impactful
397,Upgradable
398,non-volatile
399,homogeneous
400,Mandatory
401,Team-oriented
402,Cross-group
403,modular
404,User-friendly
405,conglomeration
406,Enterprise-wide
407,needs-based
408,Devolved
409,fault-tolerant
410,flexibility
411,Assimilated
412,Polarised
413,implementation
414,3rd generation
415,mobile
416,Stand-alone
417,protocol
418,Right-sized
419,project
420,Total
421,Fully-configurable
422,installation
423,Object-based
424,cohesive
425,value-added
426,matrices
427,bottom-line
428,Vision-oriented
429,exuding
430,heuristic
431,Cloned
432,national
433,Balanced
434,Horizontal
435,contingency
436,Operative
437,Persistent
438,leverage
439,Function-based
440,fault-tolerant
441,attitude
442,bandwidth-monitored
443,moderator
444,local area network
445,multimedia
446,explicit
447,pricing structure
448,neutral
449,parallelism
450,migration
451,disintermediate
452,real-time
453,dedicated
454,flexibility
455,context-sensitive
456,interactive
457,functionalities
458,bi-directional
459,matrices
460,Adaptive
461,Centralized
462,asymmetric
463,Networked
464,architecture
465,Reduced
466,analyzer
467,Advanced
468,Horizontal
469,neutral
470,pricing structure
471,User-friendly
472,hardware
473,Persevering
474,Seamless
475,capability
476,De-engineered
477,homogeneous
478,open architecture
479,hub
480,portal
481,analyzer
482,client-driven
483,Adaptive
484,Expanded
485,intranet
486,client-server
487,support
488,Networked
489,tangible
490,Public-key
491,definition
492,national
493,Front-line
494,application
495,Focused
496,dedicated
497,customer loyalty
498,orchestration
499,database
500,Implemented
501,Decentralized
502,migration
503,bi-directional
504,core
505,bottom-line
506,Persistent
507,task-force
508,task-force
509,reciprocal
510,eco-centric
511,Quality-focused
512,Cloned
513,Re-engineered
514,success
515,User-friendly
516,non-volatile
517,methodical
518,Reactive
519,human-resource
520,groupware
521,analyzing
522,hybrid
523,flexibility
524,structure
525,Open-source
526,24 hour
527,Devolved
528,web-enabled
529,budgetary management
530,moratorium
531,archive
532,Fully-configurable
533,definition
534,Open-architected
535,Synergized
536,system-worthy
537,encompassing
538,mobile
539,installation
540,knowledge user
541,Business-focused
542,uniform
543,encoding
544,matrix
545,framework
546,foreground
547,strategy
548,holistic
549,Multi-layered
550,focus group
551,Graphical User Interface
552,archive
553,interface
554,static
555,stable
556,task-force
557,leading edge
558,reciprocal
559,static
560,background
561,bandwidth-monitored
562,tangible
563,4th generation
564,installation
565,Upgradable
566,firmware
567,Distributed
568,tangible
569,hybrid
570,superstructure
571,Future-proofed
572,emulation
573,maximized
574,Object-based
575,Fully-configurable
576,capacity
577,throughput
578,encoding
579,superstructure
580,local area network
581,real-time
582,analyzing
583,Networked
584,groupware
585,process improvement
586,approach
587,artificial intelligence
588,uniform
589,orchestration
590,Adaptive
591,non-volatile
592,value-added
593,tertiary
594,Self-enabling
595,encompassing
596,Enterprise-wide
597,knowledge base
598,Synergistic
599,Public-key
600,homogeneous
601,Open-source
602,flexibility
603,clear-thinking
604,fresh-thinking
605,Re-contextualized
606,attitude-oriented
607,Multi-tiered
608,success
609,Grass-roots
610,zero defect
611,website
612,open architecture
613,secured line
614,data-warehouse
615,discrete
616,archive
617,Ameliorated
618,Networked
619,Upgradable
620,directional
621,Sharable
622,analyzer
623,Team-oriented
624,upward-trending
625,Synchronised
626,firmware
627,background
628,database
629,global
630,data-warehouse
631,logistical
632,Triple-buffered
633,zero tolerance
634,high-level
635,User-friendly
636,bi-directional
637,3rd generation
638,Fully-configurable
639,Horizontal
640,Re-engineered
641,maximized
642,Enterprise-wide
643,data-warehouse
644,throughput
645,Multi-lateral
646,full-range
647,Reduced
648,Networked
649,Quality-focused
650,Compatible
651,heuristic
652,mission-critical
653,Vision-oriented
654,circuit
655,stable
656,Configurable
657,real-time
658,policy
659,content-based
660,Polarised
661,homogeneous
662,software
663,Polarised
664,modular
665,time-frame
666,encompassing
667,groupware
668,Ergonomic
669,success
670,Decentralized
671,budgetary management
672,asynchronous
673,solution-oriented
674,even-keeled
675,Self-enabling
676,tertiary
677,mobile
678,flexibility
679,software
680,Fully-configurable
681,homogeneous
682,holistic
683,empowering
684,Innovative
685,standardization
686,intangible
687,Horizontal
688,Compatible
689,archive
690,systemic
691,policy
692,Object-based
693,initiative
694,Ameliorated
695,uniform
696,5th generation
697,Ameliorated
698,neutral
699,Profit-focused
700,4th generation
701,Face to face
702,policy
703,solution-oriented
704,Proactive
705,responsive
706,Phased
707,array
708,Future-proofed
709,Cross-platform
710,application
711,Realigned
712,multi-state
713,Extended
714,Synergized
715,Seamless
716,optimizing
717,Fully-configurable
718,access
719,approach
720,encoding
721,asymmetric
722,knowledge base
723,object-oriented
724,Adaptive
725,Seamless
726,Distributed
727,dynamic
728,uniform
729,multimedia
730,Up-sized
731,complexity
732,Profit-focused
733,utilisation
734,task-force
735,forecast
736,Assimilated
737,Innovative
738,methodology
739,global
740,secured line
741,client-server
742,Enhanced
743,success
744,Advanced
745,task-force
746,Down-sized
747,tertiary
748,attitude
749,24/7
750,Customer-focused
751,even-keeled
752,reciprocal
753,synergy
754,budgetary management
755,directional
756,task-force
757,exuding
758,access
759,Expanded
760,Devolved
761,contingency
762,Programmable
763,array
764,Total
765,flexibility
766,superstructure
767,Multi-layered
768,User-friendly
769,executive
770,internet solution
771,4th generation
772,Synergized
773,toolset
774,Seamless
775,full-range
776,scalable
777,structure
778,Innovative
779,Switchable
780,time-frame
781,3rd generation
782,benchmark
783,Cloned
784,policy
785,Advanced
786,Exclusive
787,Networked
788,adapter
789,exuding
790,exuding
791,Persistent
792,well-modulated
793,Optional
794,encoding
795,definition
796,Mandatory
797,paradigm
798,emulation
799,Ameliorated
800,client-driven
801,Front-line
802,uniform
803,reciprocal
804,regional
805,instruction set
806,infrastructure
807,Quality-focused
808,empowering
809,impactful
810,Right-sized
811,middleware
812,User-friendly
813,Distributed
814,matrix
815,strategy
816,Secured
817,service-desk
818,composite
819,analyzing
820,superstructure
821,service-desk
822,customer loyalty
823,Future-proofed
824,orchestration
825,fault-tolerant
826,initiative
827,high-level
828,Front-line
829,exuding
830,transitional
831,Customer-focused
832,Cross-group
833,neural-net
834,homogeneous
835,Programmable
836,Innovative
837,analyzer
838,leading edge
839,leverage
840,data-warehouse
841,knowledge user
842,interface
843,attitude
844,analyzing
845,product
846,archive
847,superstructure
848,Right-sized
849,Multi-lateral
850,fresh-thinking
851,support
852,local area network
853,Sharable
854,Persevering
855,Reactive
856,Graphic Interface
857,Secured
858,Innovative
859,3rd generation
860,multi-state
861,leading edge
862,focus group
863,intranet
864,concept
865,attitude-oriented
866,6th generation
867,exuding
868,methodology
869,frame
870,Multi-layered
871,Triple-buffered
872,mobile
873,impactful
874,focus group
875,full-range
876,User-friendly
877,frame
878,architecture
879,project
880,Down-sized
881,hub
882,Optional
883,Stand-alone
884,ability
885,3rd generation
886,Seamless
887,focus group
888,disintermediate
889,info-mediaries
890,structure
891,Object-based
892,explicit
893,Vision-oriented
894,approach
895,analyzer
896,Business-focused
897,regional
898,Reduced
899,info-mediaries
900,logistical
901,analyzer
902,architecture
903,cohesive
904,actuating
905,6th generation
906,task-force
907,contextually-based
908,optimizing
909,Digitized
910,disintermediate
911,eco-centric
912,Future-proofed
913,success
914,logistical
915,web-enabled
916,secured line
917,algorithm
918,success
919,concept
920,Visionary
921,zero defect
922,needs-based
923,Integrated
924,Innovative
925,conglomeration
926,Robust
927,Diverse
928,Versatile
929,reciprocal
930,migration
931,array
932,high-level
933,Proactive
934,orchestration
935,Adaptive
936,forecast
937,circuit
938,Upgradable
939,holistic
940,success
941,Pre-emptive
942,core
943,User-centric
944,Synergistic
945,groupware
946,initiative
947,conglomeration
948,moderator
949,Customizable
950,Digitized
951,systematic
952,knowledge base
953,static
954,asymmetric
955,Fundamental
956,bi-directional
957,bottom-line
958,optimal
959,Synergized
960,Assimilated
961,Phased
962,structure
963,throughput
964,bifurcated
965,well-modulated
966,Ameliorated
967,Right-sized
968,24 hour
969,responsive
970,pricing structure
971,Graphical User Interface
972,directional
973,hub
974,Customer-focused
975,neural-net
976,static
977,global
978,archive
979,Open-source
980,web-enabled
981,frame
982,algorithm
983,transitional
984,process improvement
985,Multi-layered
986,Reactive
987,Seamless
988,local
989,Ergonomic
990,dedicated
991,initiative
992,flexibility
993,Secured
994,structure
995,Seamless
996,Versatile
997,Phased
998,tertiary
999,customer loyalty
1000,matrix
