id,first_name
1,dynamic
2,hybrid
3,Synergized
4,Fully-configurable
5,uniform
6,matrix
7,data-warehouse
8,Expanded
9,local area network
10,zero tolerance
11,intangible
12,Future-proofed
13,synergy
14,Customer-focused
15,data-warehouse
16,Multi-channelled
17,Mandatory
18,Stand-alone
19,Balanced
20,5th generation
21,internet solution
22,multi-state
23,Synergistic
24,Exclusive
25,analyzer
26,didactic
27,user-facing
28,functionalities
29,hierarchy
30,array
31,clear-thinking
32,mobile
33,system-worthy
34,Grass-roots
35,Integrated
36,circuit
37,encoding
38,zero defect
39,Multi-tiered
40,system-worthy
41,Diverse
42,asynchronous
43,tertiary
44,optimal
45,24/7
46,national
47,value-added
48,Reverse-engineered
49,composite
50,process improvement
51,high-level
52,exuding
53,explicit
54,Synergized
55,pricing structure
56,Graphic Interface
57,Re-contextualized
58,local area network
59,intangible
60,background
61,Cross-platform
62,Integrated
63,Adaptive
64,website
65,Function-based
66,interactive
67,moderator
68,Sharable
69,focus group
70,Advanced
71,Operative
72,secondary
73,encompassing
74,Streamlined
75,24 hour
76,Intuitive
77,capability
78,responsive
79,intranet
80,monitoring
81,Synchronised
82,eco-centric
83,Sharable
84,productivity
85,discrete
86,framework
87,Persevering
88,Innovative
89,real-time
90,neutral
91,benchmark
92,homogeneous
93,non-volatile
94,Operative
95,time-frame
96,mission-critical
97,architecture
98,throughput
99,Cloned
100,global
101,real-time
102,Adaptive
103,open architecture
104,open architecture
105,core
106,forecast
107,logistical
108,executive
109,function
110,initiative
111,neural-net
112,Expanded
113,Total
114,actuating
115,full-range
116,model
117,executive
118,asynchronous
119,success
120,intermediate
121,collaboration
122,portal
123,neutral
124,task-force
125,Visionary
126,Up-sized
127,encompassing
128,info-mediaries
129,Synergistic
130,customer loyalty
131,Reverse-engineered
132,workforce
133,Re-engineered
134,capability
135,emulation
136,neutral
137,superstructure
138,Distributed
139,secondary
140,Exclusive
141,Distributed
142,well-modulated
143,content-based
144,Reverse-engineered
145,5th generation
146,well-modulated
147,dynamic
148,Balanced
149,content-based
150,coherent
151,adapter
152,foreground
153,Triple-buffered
154,moderator
155,Decentralized
156,infrastructure
157,Down-sized
158,upward-trending
159,Function-based
160,Multi-lateral
161,standardization
162,Persistent
163,benchmark
164,workforce
165,frame
166,Managed
167,Triple-buffered
168,homogeneous
169,well-modulated
170,Multi-layered
171,multimedia
172,Pre-emptive
173,bi-directional
174,bi-directional
175,solution
176,User-centric
177,success
178,Horizontal
179,Implemented
180,explicit
181,standardization
182,Extended
183,heuristic
184,moderator
185,fresh-thinking
186,Quality-focused
187,Front-line
188,Triple-buffered
189,toolset
190,website
191,Public-key
192,matrices
193,multimedia
194,orchestration
195,Quality-focused
196,Exclusive
197,zero administration
198,Proactive
199,object-oriented
200,artificial intelligence
201,function
202,background
203,workforce
204,well-modulated
205,Open-source
206,stable
207,Multi-layered
208,exuding
