id,first_name
1,Public-key
2,Business-focused
3,definition
4,cohesive
5,Down-sized
6,Progressive
7,Pre-emptive
8,Reverse-engineered
9,well-modulated
10,standardization
11,Integrated
12,Progressive
13,disintermediate
14,demand-driven
15,client-server
16,didactic
17,secured line
18,Pre-emptive
19,heuristic
20,Versatile
21,coherent
22,strategy
23,Face to face
24,Optional
25,Progressive
26,application
27,well-modulated
28,hierarchy
29,mission-critical
30,context-sensitive
31,tangible
32,Right-sized
33,collaboration
34,workforce
35,Enterprise-wide
36,composite
37,Enterprise-wide
38,Monitored
39,Synergistic
40,benchmark
41,value-added
42,initiative
43,transitional
44,6th generation
45,Automated
46,homogeneous
47,implementation
48,tertiary
49,bandwidth-monitored
50,leverage
51,Persevering
52,paradigm
53,encoding
54,standardization
55,Ergonomic
56,framework
57,clear-thinking
58,Public-key
59,zero defect
60,bandwidth-monitored
61,standardization
62,Intuitive
63,web-enabled
64,Polarised
65,Up-sized
66,groupware
67,value-added
68,Front-line
69,dynamic
70,Compatible
71,asymmetric
72,Fundamental
73,transitional
74,hierarchy
75,local area network
76,architecture
77,user-facing
78,reciprocal
79,matrix
80,Advanced
81,analyzing
82,object-oriented
83,Monitored
84,encompassing
85,core
86,Focused
87,4th generation
88,discrete
89,Advanced
90,artificial intelligence
91,upward-trending
92,Reverse-engineered
93,Organized
94,multi-tasking
95,Pre-emptive
96,optimal
97,Networked
98,Configurable
99,challenge
100,tertiary
101,Fundamental
102,Switchable
103,Synchronised
104,Profit-focused
105,encompassing
106,Vision-oriented
107,multi-state
108,homogeneous
109,Virtual
110,De-engineered
111,heuristic
112,impactful
113,Down-sized
114,Polarised
115,Programmable
116,demand-driven
117,Virtual
118,Re-engineered
119,Customer-focused
120,toolset
121,Devolved
122,standardization
123,Stand-alone
124,Robust
125,knowledge user
126,intermediate
127,Right-sized
128,parallelism
129,throughput
130,capacity
131,paradigm
132,Seamless
133,Graphic Interface
134,Assimilated
135,executive
136,demand-driven
137,challenge
138,project
139,time-frame
140,high-level
141,Monitored
142,Business-focused
143,24/7
144,intranet
145,Expanded
146,hierarchy
147,Robust
148,composite
149,concept
150,benchmark
151,explicit
152,Multi-layered
153,solution
154,24/7
155,Seamless
156,Multi-tiered
157,Configurable
158,Digitized
159,mission-critical
160,Profound
161,upward-trending
162,emulation
163,responsive
164,flexibility
165,human-resource
166,exuding
167,Programmable
168,Synergized
169,capacity
170,3rd generation
171,analyzer
172,Versatile
173,Stand-alone
174,help-desk
175,function
176,Reduced
177,eco-centric
178,system-worthy
179,function
180,Function-based
181,strategy
182,infrastructure
183,client-driven
184,Distributed
185,Open-architected
186,Enhanced
187,Networked
188,parallelism
189,Grass-roots
190,scalable
191,ability
192,Expanded
193,Operative
194,Organic
195,Integrated
196,concept
197,conglomeration
198,infrastructure
199,customer loyalty
200,Expanded
201,algorithm
202,homogeneous
203,monitoring
204,installation
205,stable
206,system engine
207,Customer-focused
208,discrete
209,Enterprise-wide
210,zero defect
211,zero defect
212,Graphic Interface
213,methodology
214,firmware
215,multi-state
216,Integrated
217,Versatile
218,Exclusive
219,Diverse
220,Reverse-engineered
221,Cross-platform
222,challenge
223,discrete
224,bifurcated
225,bifurcated
226,fault-tolerant
227,Public-key
228,Adaptive
229,bifurcated
230,artificial intelligence
231,time-frame
232,Exclusive
233,leading edge
234,user-facing
235,software
236,24 hour
237,next generation
238,complexity
239,Switchable
240,task-force
241,middleware
242,fault-tolerant
243,Organized
244,solution
245,access
246,Decentralized
247,concept
248,Adaptive
249,Reactive
250,process improvement
251,Organic
252,functionalities
253,dynamic
254,Devolved
255,non-volatile
256,Realigned
257,collaboration
258,Organic
259,Horizontal
260,heuristic
261,hybrid
262,Reverse-engineered
263,web-enabled
264,budgetary management
265,concept
266,hardware
267,eco-centric
268,logistical
269,hub
270,conglomeration
271,Digitized
272,hybrid
273,client-driven
274,clear-thinking
275,Centralized
276,task-force
277,Extended
278,paradigm
279,Reverse-engineered
280,Total
281,upward-trending
282,Stand-alone
283,interface
284,workforce
285,solution
286,database
287,model
288,explicit
289,Inverse
290,strategy
291,dynamic
292,national
293,clear-thinking
294,Focused
295,Vision-oriented
296,fresh-thinking
297,groupware
298,functionalities
299,Mandatory
300,asymmetric
301,6th generation
302,Intuitive
303,artificial intelligence
304,initiative
305,explicit
306,mission-critical
307,upward-trending
308,coherent
309,moderator
310,Up-sized
311,core
312,productivity
313,leverage
314,bifurcated
315,fresh-thinking
316,installation
317,time-frame
318,holistic
319,Virtual
320,Decentralized
321,Assimilated
322,upward-trending
323,Intuitive
324,directional
325,access
326,5th generation
327,hardware
328,actuating
329,transitional
330,product
331,coherent
332,non-volatile
333,human-resource
334,Organic
335,Diverse
336,project
337,flexibility
338,tangible
339,Business-focused
340,Reactive
341,Right-sized
342,intermediate
343,client-driven
344,object-oriented
345,explicit
346,content-based
347,Graphical User Interface
348,architecture
349,Triple-buffered
350,web-enabled
351,algorithm
352,optimal
353,Centralized
354,intranet
355,paradigm
356,Organic
